Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Minimum Latency,Multi-Server Latency,Multi-Server Jitter,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Smart,Philippines,,"Nov 11, 2025",12984,4110,N/A,cellular,median,6531,21,54.1876,16.3167,41589,5078,41.59,5.08
Globe,Philippines,,"Nov 11, 2025",14463,4123,N/A,cellular,median,6307,24,53.1337,15.0886,23991,5649,23.99,5.65
DITO,Philippines,,"Nov 11, 2025",5138,1566,N/A,cellular,median,2501,27,50.8513,14.9497,27123,4606,27.12,4.61
Smart,Philippines,,"Nov 12, 2025",12222,3929,N/A,cellular,median,5927,19,56.3013,15.5008,41875,5548,41.88,5.55
Globe,Philippines,,"Nov 12, 2025",15860,4482,N/A,cellular,median,6888,23,48.5115,13.0168,27016,6954,27.02,6.95
DITO,Philippines,,"Nov 12, 2025",4820,1550,N/A,cellular,median,2485,27,50.6077,14.6755,29336,5077,29.34,5.08
Smart,Philippines,,"Nov 13, 2025",11139,3725,N/A,cellular,median,5637,19,56.3563,14.3322,42649,5583,42.65,5.58
Globe,Philippines,,"Nov 13, 2025",13408,3639,N/A,cellular,median,5671,23,51.7084,14.8132,26721,6511,26.72,6.51
DITO,Philippines,,"Nov 13, 2025",5128,1522,N/A,cellular,median,2375,27,49.9038,13.6669,29291,5373,29.29,5.37
Smart,Philippines,,"Nov 14, 2025",12283,4001,N/A,cellular,median,6110,19,61.9482,16.702,43227,5696,43.23,5.70
Globe,Philippines,,"Nov 14, 2025",13892,3747,N/A,cellular,median,5615,22,51.1495,15.2539,27094,6645,27.09,6.65
DITO,Philippines,,"Nov 14, 2025",4871,1547,N/A,cellular,median,2335,27,51.4089,14.0252,29994,5462,29.99,5.46
Smart,Philippines,,"Nov 15, 2025",10900,3805,N/A,cellular,median,5888,19,56.1103,14.5097,41896,5575,41.90,5.58
Globe,Philippines,,"Nov 15, 2025",13858,3634,N/A,cellular,median,5626,22,49.2972,14.3834,27219,6383,27.22,6.38
DITO,Philippines,,"Nov 15, 2025",4590,1566,N/A,cellular,median,2427,27,50.6768,13.3995,29224,4913,29.22,4.91
Smart,Philippines,,"Nov 16, 2025",10071,3362,N/A,cellular,median,5192,19,54.7345,13.5339,42475,5839,42.48,5.84
Globe,Philippines,,"Nov 16, 2025",8916,3089,N/A,cellular,median,4814,21,47.3128,14.7068,28320,6436,28.32,6.44
DITO,Philippines,,"Nov 16, 2025",4229,1414,N/A,cellular,median,2210,26,50.9498,13.6532,29276,5517,29.28,5.52
Smart,Philippines,,"Nov 17, 2025",10455,3390,N/A,cellular,median,5310,19,56.2465,14.9764,41249,5890,41.25,5.89
Globe,Philippines,,"Nov 17, 2025",10973,3394,N/A,cellular,median,5093,22,47.8422,13.6153,28679,6933,28.68,6.93
DITO,Philippines,,"Nov 17, 2025",4532,1464,N/A,cellular,median,2250,27,50.1215,14.7679,28877,5013,28.88,5.01
Smart,Philippines,,"Nov 18, 2025",11160,3524,N/A,cellular,median,5423,19,55.6444,15.1083,43936,5840,43.94,5.84
Globe,Philippines,,"Nov 18, 2025",12066,3308,N/A,cellular,median,5049,22,47.6512,13.3921,28605,7289,28.61,7.29
DITO,Philippines,,"Nov 18, 2025",5103,1536,N/A,cellular,median,2335,27,50.1595,14.3715,27552,4822,27.55,4.82
Smart,Philippines,,"Nov 19, 2025",10937,3518,N/A,cellular,median,5360,19,55.7119,16.01,43746,6358,43.75,6.36
Globe,Philippines,,"Nov 19, 2025",13134,3745,N/A,cellular,median,5721,21,46.4837,13.8315,30504,7309,30.50,7.31
DITO,Philippines,,"Nov 19, 2025",4707,1465,N/A,cellular,median,2265,28,50.2922,14.0856,32783,5671,32.78,5.67
Smart,Philippines,,"Nov 20, 2025",10868,3528,N/A,cellular,median,5358,19,56.5612,14.7449,42285,5651,42.29,5.65
Globe,Philippines,,"Nov 20, 2025",13288,3413,N/A,cellular,median,5109,21,46.1089,13.2396,29783,7183,29.78,7.18
DITO,Philippines,,"Nov 20, 2025",4806,1458,N/A,cellular,median,2360,27,50.4122,14.7361,29185,4649,29.19,4.65
Smart,Philippines,,"Nov 21, 2025",10682,3552,N/A,cellular,median,5579,19,55.505,14.5052,43656,6109,43.66,6.11
Globe,Philippines,,"Nov 21, 2025",12917,3338,N/A,cellular,median,5248,21,45.7264,12.9721,30454,6898,30.45,6.90
DITO,Philippines,,"Nov 21, 2025",5241,1503,N/A,cellular,median,2428,27,51.0598,13.7476,27272,4795,27.27,4.80
Smart,Philippines,,"Nov 22, 2025",10011,3530,N/A,cellular,median,5492,19,56.2721,14.642,41276,5316,41.28,5.32
Globe,Philippines,,"Nov 22, 2025",14759,3932,N/A,cellular,median,6452,21,43.7193,12.533,28119,7471,28.12,7.47
DITO,Philippines,,"Nov 22, 2025",4571,1528,N/A,cellular,median,2441,27,51.287,14.4396,28461,5159,28.46,5.16
Smart,Philippines,,"Nov 23, 2025",9103,3189,N/A,cellular,median,4907,19,55.4393,13.6626,43929,6208,43.93,6.21
Globe,Philippines,,"Nov 23, 2025",11209,3281,N/A,cellular,median,5034,22,45.2648,12.3976,29644,7441,29.64,7.44
DITO,Philippines,,"Nov 23, 2025",4268,1397,N/A,cellular,median,2227,27,51.138,13.891,31978,5484,31.98,5.48
Smart,Philippines,,"Nov 24, 2025",10140,3338,N/A,cellular,median,5220,19,57.7815,14.8635,42148,5420,42.15,5.42
Globe,Philippines,,"Nov 24, 2025",13956,3850,N/A,cellular,median,5958,21,43.349,11.8804,26959,7439,26.96,7.44
DITO,Philippines,,"Nov 24, 2025",4531,1463,N/A,cellular,median,2332,27,51.4941,14.1689,29172,5227,29.17,5.23
